NOMBRE,DIRECCIÓN,MUNICIPIO,TELEFONO,LATITUD,LONGITUD,LOCALIZACION
CUPCAKES FANTASY,CALLE 09 N 23-93,YOPAL,3204416481,5349417,-72397590,POINT (-72397590 5349417)
FREEXS PAN,CALLE 30 N 12 - 03,YOPAL,3202531620,5327766,-72400405,POINT (-72400405 5327766)
PANADERIA Y PASTELERIA PIZZA PAN,CARRERA 21 N 23-69,YOPAL,3225588616,5336625,-72393097,POINT (-72393097 5336625)
LA CASCADA PUNTO UNO,CARRERA 25  N 10-65,YOPAL,3208509029,5349156,-72395007,POINT (-72395007 5349156)
LA CASCADA PUNTO DOS PUNTO DE FABRICA,CARRERA 25 N 11- 10,YOPAL,3208509029,5348504,-72394953,POINT (-72394953 5348504)
LA CASCADA PUNTO TRES,CENTRO COMERCIAL UNICENTRO 131,YOPAL,3204047934,5347694,-72390001,POINT (-72390001 5347694)
LA CASCADA PUNTO CUATRO,CARRERA 14 N 27 - 10,YOPAL,3208509029,5330425,-72398781,POINT (-72398781 5330425)
PANADERIA Y PASTELERIA EL TRIUNFO J.S,CARRERA 31 N 25 - 73,YOPAL,3123048677,5347289,-72397579,POINT (-72397579 5347289)
LA CANASTA PANADERÍA Y CAFETERÍA,CALLE 22 N 21C - 03,YOPAL,3132744917,5337653,-72393862,POINT (-72393862 5337653)
LA CASCADA PUNTO SIETE,CALLE 9 N 21 - 105,YOPAL,6340659,5348768,-72399056,POINT (-72399056 5348768)
LA CASCADA PUNTO OCHO,TRANSVERSAL 7 CON CALLE 30 ESQUINA,YOPAL,3208509029,5322026,-72401641,POINT (-72401641 5322026)
DELICIAS DE JOHN S.,CARRERA 10 N 25-03,YOPAL,3212712658,5331680,-72403105,POINT (-72403105 5331680)
PANADERIA RICO PAN DE SAMUELITO,CARRERA 14 N 20 A - 09,YOPAL,3115965650,5335994,-72400383,POINT (-72400383 5335994)
LO MEJOR DE LLANO VARGAS,CARRERA 42 N 37 - 34,YOPAL,3115067800,5339470,-72373916,POINT (-72373916 5339470)
PANADERIA Y PASTELERIA STOLLEN,CALLE 30 N 28B - 11,YOPAL,3206542967,5336089,-72381926,POINT (-72381926 5336089)
CROAPAN,CARRERA 31 A N 26 - 31,YOPAL,3102061868,5339582,-72382555,POINT (-72382555 5339582)
PANADERIA Y PASTELERIA MALLORCA LA 30,CALLE 30 N. 29-03,YOPAL,3159282128,5335511,-72382664,POINT (-72382664 5335511)
PANADERIA EL MOLINO DE YOPAL,CALLE 25A N 9 - 06,YOPAL,3102587246,5330873,-72403885,POINT (-72403885 5330873)
DISTRIBUIDORA PAN DEL ORIENTE,CALLE 25A N 14-46,YOPAL,3142126287,5330851,-72403853,POINT (-72403853 5330851)
LA TRIGALIA DORADA,CALLE 22 A N 28 - 120,YOPAL,3124228936,5341322,-72387558,POINT (-72387558 5341322)
PANADERIA Y CAFETERIA ARTESANAL LA GUAFILLA,CARRERA 13A N 26 24,YOPAL,3124016538,5331321,-72399598,POINT (-72399598 5331321)
IWOKA BIO TIENDA,CALLE 30 N 26 - 29,YOPAL,3213054149,5335693,-72385810,POINT (-72385810 5335693)
PANADERIA LUIGI,CALLE 44 N 5 - 03,YOPAL,3208601429,5314798,-72403957,POINT (-72403957 5314798)
PANADERIA DS GUSTO,CALLE 24 N 15-15,YOPAL,3202801071,5334120,-72398186,POINT (-72398186 5334120)
AURELIA BAKERY,CARRERA 22 N 8-43,YOPAL,3223060164,5349485,-72398884,POINT (-72398884 5349485)
RESTAURANTE SABOR FUSIÓN,CARRERA 29 N 20A - 30,YOPAL,3133932128,5342829,-72387318,POINT (-72387318 5342829)
EL CASTILLO DE LAS TORTAS LA 20/11,CARRERA 20 N 11 - 03,YOPAL,3142993947,5345969,-72399429,POINT (-72399429 5345969)
PANADERIA LOS HORNITOS,CALLE 41A N 7-03,YOPAL,3117585423,5317705,-72394512,POINT (-72394512 5317705)
PRODUCTOS DELICIAS DEL CASANARE,CARRERA 27B  N 34 - 37,YOPAL,3144657779,5331103,-72383016,POINT (-72383016 5331103)
PANADERIA & CAFETERIA FRESH DELISH LA 13,CARRERA 13 N 32-21,YOPAL,3208510731,5325451,-72398600,POINT (-72398600 5325451)
ONIONS SAS,CARRERA 29 N 21-49,YOPAL,3112142893,5342241,-72386905,POINT (-72386905 5342241)
PANIFICADORA PINMOPAN,MANZANA 102 CASA 17 CIUDADELA LA BENDICION,YOPAL,3208013893,5295306,-72421453,POINT (-72421453 5295306)
COMESTIBLES CAMARITA,CALLE 31 N 12A - 27,YOPAL,3229444474,5326467,-72400017,POINT (-72400017 5326467)
BARISTA COFFEE AND BREAD,CALLE 19 N 27 - 79,YOPAL,3124670513,5343486,-72389497,POINT (-72389497 5343486)
PANADERIA LA CANNOLI,CARRERA 13 N 33B - 03,YOPAL,3133924437,5325213,-72398262,POINT (-72398262 5325213)
MATISSE PASTELERIA,CARRERA 23 N 13 - 02,YOPAL,3102016664,5346108,-72395805,POINT (-72395805 5346108)
PANADERIA EL TRIGAL Y SUS DELICIAS,CALLE 21 N 27 - 62,YOPAL,3118744007,5341631,-72388555,POINT (-72388555 5341631)
BRIOCHE PAN Y CAFE,CARRERA 29  N 34 -64,YOPAL,3135291485,5332652,-72380905,POINT (-72380905 5332652)
PAN Y VIDA,CALLE 42 N 7B - 22,YOPAL,3224401804,5316097,-72401623,POINT (-72401623 5316097)
BOGOTÁ PAN&CAFE,CALLE 8 N 20-20,YOPAL,3113754058,5348736,-72400754,POINT (-72400754 5348736)
PANADERIA CAFE Y PAN GZ,CALLE 46 N 7-34,YOPAL,3124555619,5312618,-72397853,POINT (-72397853 5312618)
CHEFMOM REPOSTERIA Y PANADERIA ARTESANAL,CALLE 12 N 21-61,YOPAL,3203594106,5346003,-72397754,POINT (-72397754 5346003)
RUBIPAN DEL LLANO,CALLE 30A N 44-04,YOPAL,3114674106,5340796,-72372790,POINT (-72372790 5340796)
PULPI-FRUTAS LA FLORESTA,CALLE 31 A  TRANSVERSAL 7B  38,YOPAL,3208208481,5326110,-72400441,POINT (-72400441 5326110)
PANADERIA ANTOJITOS.COM,TRANSVERSAL 18 N 8-77,YOPAL,3223380414,5347179,-72402301,POINT (-72402301 5347179)
PANADERIA Y PASTELERIA SURTIPAN YOPAL,CALLE 38 N 44D-11,YOPAL,3102871178,5338415,-72369410,POINT (-72369410 5338415)
PANADERIA Y PASTELERIA ORIPAN,CARRERA 23 N 25-133,YOPAL,3107710235,5335598,-72389813,POINT (-72389813 5335598)
SALSAMENTARIA MERCANORTE,CALLE 40 14A-20,YOPAL,3217713856,5318979,-72395241,POINT (-72395241 5318979)
PANADERIA Y CAFETERIA LA MILANESA H.L,CALLE 24  22A-22,YOPAL,3116074703,5337145,-72391863,POINT (-72391863 5337145)
PANADERIA Y CAFETERIA BREANT´S,CARRERA 17 N 22 - 61,YOPAL,3112328213,5335665,-72397024,POINT (-72397024 5335665)
BRIOCHE COFFEE,CARRERA 26 N 20-12,YOPAL,3115707916,5341683,-72390296,POINT (-72390296 5341683)
MILENA ACOSTA- REPOSTERIA Y PASTELERIA,CARRERA 43 N 35-41,YOPAL,3125731645,5336104,-72371799,POINT (-72371799 5336104)
LA CASCADA PUNTO SEIS,CALLE 10 N 18-26,YOPAL,3143315058,5346041,-72401279,POINT (-72401279 5346041)
PANADERIA RAPPY ANTOJITOS,CARRERA 14 N 17,YOPAL,3127398769,5338627,-72401378,POINT (-72401378 5338627)
LA SULTANA DEL PAN,CARRERA 19 N 23-52,YOPAL,3014501865,5335498,-72395192,POINT (-72395192 5335498)
COMERCIALIZADORA MERCANORTE,CARRERA 16A N 35-25,YOPAL,6323776,5325139,-72392066,POINT (-72392066 5325139)
PAN TRIGO`S DE ORO,CARRERA 31 N 25-66,YOPAL,3108079381,5339830,-72383267,POINT (-72383267 5339830)
PANADERIA EL GAVAN EL YOPAL,CARRERA 22 N 17- 61,YOPAL,3124808022,5341995,-72394510,POINT (-72394510 5341995)
LA CASA DEL PANDEBONO YOPAL,CARRERA 20 N 19 - 65,YOPAL,3114817469,5339326,-72395713,POINT (-72395713 5339326)
ANTOJITOS DEL CASANARE,CARRERA 12B N 29A-33,YOPAL,3212277891,5324282,-72398515,POINT (-72398515 5324282)
PANADERIA VELEÑITA YOPAL,CALLE 41A N 11-03,YOPAL,6322603,5317749,-72394430,POINT (-72394430 5317749)
EL REY DE OROS PANADERIA Y BIZCOCHERIA,CALLE 40 TRANVERSAL 6 - 129,YOPAL,3108708383,5323858,-72385044,POINT (-72385044 5323858)
PAISAS PANES Y PASTELES,TRANSVERSAL 18 N 9-03,YOPAL,3146412660,5346724,-72402455,POINT (-72402455 5346724)
PANADERIA LA HERRADURA,CALLE 40 N 2C-51,YOPAL,3103213534,5318220,-72413148,POINT (-72413148 5318220)
PANADERIA Y PASTELERIA PAN`TOJOS YOPAL LA 40,CALLE 40 N 12-03,YOPAL,3144964997,5318185,-72397686,POINT (-72397686 5318185)
ALIMENTOS LA CAMPIÑA CAMPIPAN,CARRERA 9 N 27 - 59,YOPAL,3222235635,5328805,-72403556,POINT (-72403556 5328805)
PANADERIA Y PASTELERIA LA 24 CON LA 14,CALLE 24 N 13A-32,YOPAL,3125936273,5333900,-72399964,POINT (-72399964 5333900)
PANADERIA EL PAN DE LA ABUELA YOPAL,CARRERA 30 N 50-51,YOPAL,3212465593,5326020,-72374314,POINT (-72374314 5326020)
PANIFICADORA Y PANADERÍA BELÉN,CALLE 29 N 15BIS-90,YOPAL,3142856543,5329711,-72396390,POINT (-72396390 5329711)
TRAVELIX,CARRRERA 26  N 17A-10,YOPAL,3213193001,5343698,-72391528,POINT (-72391528 5343698)
EL BUEN SAZON AG,CARRERA 11 N 45B -25,YOPAL,3222364827,5317571,-72398764,POINT (-72398764 5317571)
PANADERIA LAS DELICIAS DEL LLANO,CARRERA 7 N 27-04,YOPAL,3102127538,5328932,-72405842,POINT (-72405842 5328932)
PANADERIA Y CAFETERIA SUPER PAN LA SEPTIMA,CARRERA 7 N 40B - 20,YOPAL,3118366431,5317906,-72402344,POINT (-72402344 5317906)
CASCANUEZ REPOSTERIA Y PANADERIA,CARRERA 29 N 21-10,YOPAL,3222849262,5342148,-72387217,POINT (-72387217 5342148)
